"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Rodri","16","Mid","1.91 m","82 kg","Spain","33","1",NA,NA,"6","44","18","5","0","2","45","12","Manchester City"
"Kevin De Bruyne","17","Mid","1.8 m","68 kg","Belgium","30","3",NA,NA,"16","20","27","1","0","7","65","20","Manchester City"
"Bernardo Silva","20","Mid","1.73 m","63 kg","Portugal","32","9",NA,NA,"5","28","15","4","0","4","25","9","Manchester City"
"Sergio Gómez","21","Mid","1.7 m","68 kg","Spain","8","8",NA,NA,"1","0","0","0","0","0","4","0","Manchester City"
"Máximo Perrone","32","Mid","1.78 m","68 kg","Argentina","1","1",NA,NA,"0","0","0","0","0","0","0","0","Manchester City"
"Phil Foden","47","Mid","1.7 m","68 kg","England","28","10",NA,NA,"6","7","23","1","0","10","38","20","Manchester City"
"Shea Charles","62","Mid","--","--","Northern Ireland","--","--",NA,NA,"--","--","--","--","--","--","--","--","Manchester City"
"Cole Palmer","80","Mid","1.83 m","--","England","11","11",NA,NA,"0","1","3","1","0","0","2","0","Manchester City"
"Alex Robertson","93","Mid","1.83 m","--","Australia","--","--",NA,NA,"--","--","--","--","--","--","--","--","Manchester City"
"Ben Knight","96","Mid","--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Manchester City"
"Erling Haaland","9","Fwd","1.93 m","87 kg","Norway","32","1",NA,NA,"7","30","21","5","0","35","116","58","Manchester City"
"Julián Álvarez","19","Fwd","1.7 m","71 kg","Argentina","27","17",NA,NA,"0","16","11","0","0","8","36","19","Manchester City"
"Riyad Mahrez","26","Fwd","1.78 m","67 kg","Algeria","26","8",NA,NA,"9","11","35","2","0","5","36","12","Manchester City"
"Martin Dúbravka","1","GK","1.91 m","83 kg","Slovakia","1","1","5","0","0","0","0","0","0",NA,NA,NA,"Newcastle United"
"Loris Karius","18","GK","1.88 m","87 kg","Germany","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Newcastle United"
"Nick Pope","22","GK","1.91 m","76 kg","England","35","0","54","30","0","0","2","3","1",NA,NA,NA,"Newcastle United"
"Mark Gillespie","29","GK","1.93 m","83 kg","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Newcastle United"
"Kieran Trippier","2","Def","1.78 m","71 kg","England","35","0",NA,NA,"6","42","27","5","0","1","13","1","Newcastle United"
"Paul Dummett","3","Def","1.83 m","82 kg","Wales","0","0",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Sven Botman","4","Def","1.93 m","81 kg","Netherlands","33","1",NA,NA,"0","14","13","2","0","0","22","7","Newcastle United"
"Fabian Schär","5","Def","1.85 m","83 kg","Switzerland","33","0",NA,NA,"3","17","25","6","0","1","48","11","Newcastle United"
"Jamaal Lascelles","6","Def","1.88 m","87 kg","England","7","5",NA,NA,"0","6","2","4","0","0","2","0","Newcastle United"
"Jamal Lewis","12","Def","1.78 m","68 kg","Northern Ireland","1","1",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Matt Targett","13","Def","1.83 m","68 kg","England","15","10",NA,NA,"0","7","3","1","0","0","1","0","Newcastle United"
"Emil Krafth","17","Def","1.83 m","83 kg","Sweden","1","1",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Javier Manquillo","19","Def","1.78 m","76 kg","Spain","3","3",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Harrison Ashby","30","Def","--","--","Scotland","0","0",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Dan Burn","33","Def","1.98 m","87 kg","England","35","2",NA,NA,"0","33","4","6","0","0","16","3","Newcastle United"
"Matt Ritchie","11","Mid","1.73 m","76 kg","Scotland","7","7",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Ryan Fraser","21","Mid","1.63 m","68 kg","Scotland","8","5",NA,NA,"0","3","10","1","0","0","6","1","Newcastle United"
"Jacob Murphy","23","Mid","1.78 m","73 kg","England","34","20",NA,NA,"2","8","14","0","0","4","27","9","Newcastle United"
"Miguel Almirón","24","Mid","1.75 m","68 kg","Paraguay","31","5",NA,NA,"3","19","28","2","0","11","52","17","Newcastle United"
"Matthew Longstaff","27","Mid","1.7 m","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Newcastle United"
"Joe Willock","28","Mid","1.78 m","71 kg","England","34","4",NA,NA,"6","34","22","1","0","3","55","14","Newcastle United"
"Elliot Anderson","32","Mid","1.78 m","--","Scotland","19","18",NA,NA,"0","6","8","0","0","0","8","3","Newcastle United"
"Sean Longstaff","36","Mid","1.8 m","63 kg","England","32","5",NA,NA,"4","21","39","2","0","1","27","6","Newcastle United"
"Bruno Guimarães","39","Mid","1.83 m","73 kg","Brazil","29","0",NA,NA,"5","38","74","5","0","3","25","7","Newcastle United"
"Lewis Miley","81","Mid","--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Newcastle United"
"Joelinton","7","Fwd","1.85 m","81 kg","Brazil","31","2",NA,NA,"1","56","32","12","0","6","49","18","Newcastle United"
"Anthony Gordon","8","Fwd","1.83 m","72 kg","England","29","14",NA,NA,"0","27","22","7","0","3","30","16","Newcastle United"
"Callum Wilson","9","Fwd","1.8 m","66 kg","England","28","9",NA,NA,"4","19","29","4","0","17","61","30","Newcastle United"
"Allan Saint-Maximin","10","Fwd","1.73 m","67 kg","France","22","11",NA,NA,"5","6","14","1","0","1","27","10","Newcastle United"
"Alexander Isak","14","Fwd","1.93 m","77 kg","Sweden","19","5",NA,NA,"2","15","14","2","0","10","39","22","Newcastle United"
"David de Gea","1","GK","1.93 m","76 kg","Spain","35","0","71","40","0","0","4","0","0",NA,NA,NA,"Manchester United"
"Tom Heaton","22","GK","1.88 m","83 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Manchester United"
"Nathan Bishop","30","GK","1.85 m","72 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Manchester United"
"Jack Butland","31","GK","1.96 m","93 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Manchester United"
"Radek Vítek","50","GK","1.98 m","--","Czech Republic","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Manchester United"
"Victor Lindelöf","2","Def","1.88 m","78 kg","Sweden","17","6",NA,NA,"0","6","4","1","0","0","3","0","Manchester United"
"Phil Jones","4","Def","1.8 m","71 kg","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Manchester United"
"Harry Maguire","5","Def","1.93 m","88 kg","England","15","8",NA,NA,"0","7","3","4","0","0","2","0","Manchester United"
"Lisandro Martínez","6","Def","1.75 m","77 kg","Argentina","27","3",NA,NA,"0","20","10","6","0","1","9","1","Manchester United"
"Tyrell Malacia","12","Def","1.7 m","67 kg","Netherlands","20","7",NA,NA,"0","35","12","5","0","0","5","1","Manchester United"
"Raphaël Varane","19","Def","1.91 m","81 kg","France","22","2",NA,NA,"0","11","2","1","0","0","7","4","Manchester United"
"Diogo Dalot","20","Def","1.83 m","76 kg","Portugal","25","2",NA,NA,"2","21","3","6","0","1","21","7","Manchester United"
"Luke Shaw","23","Def","1.85 m","73 kg","England","29","1",NA,NA,"3","44","26","8","0","1","12","3","Manchester United"
"Aaron Wan-Bissaka","29","Def","1.83 m","72 kg","England","17","3",NA,NA,"0","10","1","2","0","0","8","2","Manchester United"
"Brandon Williams","33","Def","1.7 m","63 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Manchester United"
"Marc Jurado Gomez","63","Def","1.78 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Manchester United"
"Rhys Bennett","66","Def","1.91 m","73 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Manchester United"
"Bruno Fernandes","8","Mid","1.78 m","68 kg","Portugal","34","0",NA,NA,"8","38","39","6","0","6","82","25","Manchester United"
"Christian Eriksen","14","Mid","1.83 m","76 kg","Denmark","25","2",NA,NA,"7","11","9","3","0","1","36","8","Manchester United"
"Marcel Sabitzer","15","Mid","1.78 m","76 kg","Austria","11","4",NA,NA,"1","8","10","1","0","0","11","3","Manchester United"
"Fred","17","Mid","1.7 m","63 kg","Brazil","32","21",NA,NA,"1","29","21","6","0","2","25","5","Manchester United"
"Casemiro","18","Mid","1.85 m","83 kg","Brazil","25","4",NA,NA,"3","42","22","7","2","2","25","7","Manchester United"
"Facundo Pellistri","28","Mid","1.75 m","68 kg","Uruguay","3","3",NA,NA,"0","1","1","0","0","0","0","0","Manchester United"
"Donny van de Beek","34","Mid","1.83 m","76 kg","Netherlands","7","5",NA,NA,"0","4","2","0","0","0","1","0","Manchester United"
"Scott McTominay","39","Mid","1.93 m","87 kg","Scotland","21","11",NA,NA,"0","27","17","7","0","1","10","3","Manchester United"
"Zidane Iqbal","55","Mid","1.8 m","71 kg","Iraq","0","0",NA,NA,"0","0","0","0","0","0","0","0","Manchester United"
"Kobbie Mainoo","73","Mid","1.75 m","--","England","1","1",NA,NA,"0","0","0","0","0","0","0","0","Manchester United"
"Anthony Martial","9","Fwd","1.8 m","76 kg","France","18","9",NA,NA,"2","6","7","0","0","5","23","12","Manchester United"
"Marcus Rashford","10","Fwd","1.8 m","68 kg","England","33","2",NA,NA,"5","12","23","2","0","16","95","40","Manchester United"
"Antony","21","Fwd","1.75 m","63 kg","Brazil","23","2",NA,NA,"2","15","24","5","0","4","67","24","Manchester United"
"Jadon Sancho","25","Fwd","1.8 m","76 kg","England","23","5",NA,NA,"2","9","10","0","0","5","18","8","Manchester United"
"Wout Weghorst","27","Fwd","1.98 m","83 kg","Netherlands","15","5",NA,NA,"1","11","8","1","0","0","12","4","Manchester United"
"Anthony Elanga","36","Fwd","1.78 m","68 kg","Sweden","16","11",NA,NA,"1","3","7","0","0","0","9","3","Manchester United"
"Alejandro Garnacho","49","Fwd","1.8 m","78 kg","Argentina","16","12",NA,NA,"2","6","6","3","0","3","17","7","Manchester United"
"Hugo Lloris","1","GK","1.88 m","82 kg","France","25","0","70","38","0","0","2","0","0",NA,NA,NA,"Tottenham Hotspur"
"Fraser Forster","20","GK","2.01 m","92 kg","England","12","1","30","20","0","0","2","1","0",NA,NA,NA,"Tottenham Hotspur"
"Brandon Austin","40","GK","1.88 m","82 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Tottenham Hotspur"
"Alfie Whiteman","41","GK","1.88 m","83 kg","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Tottenham Hotspur"
"Charlie Sayers","3","Def","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Davinson Sánchez","6","Def","1.88 m","81 kg","Colombia","16","10",NA,NA,"0","5","4","1","0","0","2","0","Tottenham Hotspur"
"Emerson Royal","12","Def","1.8 m","78 kg","Brazil","24","6",NA,NA,"1","19","28","2","1","2","15","6","Tottenham Hotspur"
"Eric Dier","15","Def","1.88 m","83 kg","England","33","2",NA,NA,"1","25","11","3","0","2","17","4","Tottenham Hotspur"
"Cristian Romero","17","Def","1.85 m","78 kg","Argentina","27","1",NA,NA,"1","42","12","10","1","0","11","2","Tottenham Hotspur"
"Pedro Porro","23","Def","1.73 m","68 kg","Spain","13","1",NA,NA,"2","12","16","0","0","2","20","6","Tottenham Hotspur"
"Japhet Tanganga","25","Def","1.83 m","76 kg","England","4","2",NA,NA,"0","3","3","0","0","0","0","0","Tottenham Hotspur"
"Ben Davies","33","Def","1.8 m","77 kg","Wales","29","5",NA,NA,"2","29","17","4","0","2","14","5","Tottenham Hotspur"
"Clément Lenglet","34","Def","1.85 m","81 kg","France","24","2",NA,NA,"2","20","16","4","0","0","12","2","Tottenham Hotspur"
"Malachi Walcott","46","Def","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Maksim Paskotši","48","Def","--","--","Estonia","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Kallum Cesay","50","Def","--","--","Sierra Leone","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Marqes Muir","62","Def","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Alfie Dorrington","65","Def","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Oliver Skipp","4","Mid","1.75 m","68 kg","England","21","5",NA,NA,"1","21","14","7","0","1","5","3","Tottenham Hotspur"
"Pierre-Emile Hojbjerg","5","Mid","1.88 m","83 kg","Denmark","35","0",NA,NA,"5","37","36","5","0","4","31","8","Tottenham Hotspur"
"Ivan Perisic","14","Mid","1.85 m","78 kg","Croatia","33","10",NA,NA,"8","30","8","6","0","1","28","6","Tottenham Hotspur"
"Arnaut Danjuma","16","Mid","1.78 m","73 kg","Netherlands","8","8",NA,NA,"0","0","0","0","0","1","3","3","Tottenham Hotspur"
"Ryan Sessegnon","19","Mid","1.78 m","68 kg","England","17","8",NA,NA,"1","15","6","4","0","2","16","6","Tottenham Hotspur"
"Dejan Kulusevski","21","Mid","1.85 m","78 kg","Sweden","28","7",NA,NA,"6","29","22","2","0","2","41","9","Tottenham Hotspur"
"Pape Matar Sarr","29","Mid","1.85 m","68 kg","Senegal","10","8",NA,NA,"0","4","3","1","0","0","2","0","Tottenham Hotspur"
"Rodrigo Bentancur","30","Mid","1.88 m","72 kg","Uruguay","18","1",NA,NA,"2","24","8","8","0","5","15","9","Tottenham Hotspur"
"Yves Bissouma","38","Mid","1.83 m","78 kg","Mali","21","13",NA,NA,"0","15","8","5","0","0","5","0","Tottenham Hotspur"
"Nile John","43","Mid","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Alfie Devine","45","Mid","1.78 m","73 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Tottenham Hotspur"
"Matthew Craig","51","Mid","--","--","Scotland","0","0",NA,NA,"0","0","0","0","0","0","0","0","Tottenham Hotspur"
"Romaine Mundle","55","Mid","--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Tottenham Hotspur"
"Max Robson","57","Mid","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"George Abbott","77","Mid","--","--","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Tottenham Hotspur"
"Son Heung-Min","7","Fwd","1.83 m","77 kg","South Korea","34","3",NA,NA,"5","10","36","2","0","10","76","34","Tottenham Hotspur"
"Richarlison","9","Fwd","1.83 m","83 kg","Brazil","25","13",NA,NA,"3","14","22","3","0","1","22","9","Tottenham Hotspur"
"Harry Kane","10","Fwd","1.88 m","86 kg","England","36","0",NA,NA,"3","26","56","6","0","27","121","53","Tottenham Hotspur"
"Lucas Moura","27","Fwd","1.73 m","72 kg","Brazil","13","13",NA,NA,"0","2","3","0","1","0","1","0","Tottenham Hotspur"
"Yago Alonso","58","Fwd","--","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Will Lankshear","62","Fwd","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Jamie Donley","63","Fwd","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Tottenham Hotspur"
"Alisson","1","GK","1.93 m","91 kg","Brazil","35","0","84","40","1","1","5","1","0",NA,NA,NA,"Liverpool"
"Adrián","13","GK","1.91 m","78 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Liverpool"
"Caoimhin Kelleher","62","GK","1.78 m","73 kg","Republic of Ireland","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Liverpool"
"Harvey Davies","95","GK","--","--","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Liverpool"
"Joe Gomez","2","Def","1.88 m","77 kg","England","20","6",NA,NA,"0","13","4","3","0","0","6","1","Liverpool"
"Virgil van Dijk","4","Def","1.96 m","92 kg","Netherlands","30","0",NA,NA,"1","12","3","3","0","3","30","9","Liverpool"
"Ibrahima Konaté","5","Def","1.93 m","93 kg","France","16","1",NA,NA,"0","25","12","3","0","0","11","4","Liverpool"
"Konstantinos Tsimikas","21","Def","1.78 m","77 kg","Greece","18","10",NA,NA,"4","11","9","2","0","0","6","2","Liverpool"
"Calvin Ramsay","22","Def","1.78 m","68 kg","Scotland","0","0",NA,NA,"0","0","0","0","0","0","0","0","Liverpool"
"Andy Robertson","26","Def","1.78 m","63 kg","Scotland","32","5",NA,NA,"8","21","10","3","0","0","14","2","Liverpool"
"Joël Matip","32","Def","1.96 m","88 kg","Cameroon","13","2",NA,NA,"0","8","5","3","0","1","5","3","Liverpool"
"Stefan Bajcetic","43","Def","1.85 m","77 kg","Spain","11","5",NA,NA,"0","7","9","2","0","1","6","2","Liverpool"
"Rhys Williams","46","Def","1.96 m","82 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Liverpool"
"Nathaniel Phillips","47","Def","1.91 m","83 kg","England","2","1",NA,NA,"0","1","0","0","0","0","1","0","Liverpool"
"Trent Alexander-Arnold","66","Def","1.75 m","72 kg","England","34","3",NA,NA,"9","18","6","4","0","1","34","5","Liverpool"
"Fabinho","3","Mid","1.88 m","78 kg","Brazil","33","5",NA,NA,"1","42","22","10","0","0","15","4","Liverpool"
"Thiago","6","Mid","1.75 m","68 kg","Spain","18","4",NA,NA,"1","18","25","2","0","0","8","1","Liverpool"
"James Milner","7","Mid","1.75 m","68 kg","England","28","22",NA,NA,"1","14","11","2","0","0","6","1","Liverpool"
"Naby Keita","8","Mid","1.73 m","63 kg","Guinea","8","5",NA,NA,"0","12","2","1","0","0","8","0","Liverpool"
"Jordan Henderson","14","Mid","1.83 m","78 kg","England","32","11",NA,NA,"2","15","8","2","0","0","18","1","Liverpool"
"Alex Oxlade-Chamberlain","15","Mid","1.8 m","68 kg","England","9","5",NA,NA,"0","3","4","0","0","1","7","3","Liverpool"
"Curtis Jones","17","Mid","1.85 m","73 kg","England","15","6",NA,NA,"1","9","14","2","0","1","9","2","Liverpool"
"Harvey Elliott","19","Mid","1.7 m","63 kg","England","29","11",NA,NA,"2","11","25","1","0","1","28","7","Liverpool"
"Fabio Carvalho","28","Mid","1.7 m","62 kg","Portugal","12","8",NA,NA,"0","5","6","0","0","2","11","4","Liverpool"
"Arthur","29","Mid","1.7 m","73 kg","Brazil","0","0",NA,NA,"0","0","0","0","0","0","0","0","Liverpool"
"Bobby Clark","42","Mid","1.78 m","--","England","1","1",NA,NA,"0","1","0","0","0","0","0","0","Liverpool"
"Melkamu Frauendorf","94","Mid","--","--","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","Liverpool"
"Roberto Firmino","9","Fwd","1.8 m","76 kg","Brazil","23","11",NA,NA,"4","6","6","0","0","9","37","23","Liverpool"
"Mohamed Salah","11","Fwd","1.75 m","71 kg","Egypt","35","1",NA,NA,"8","16","31","2","0","19","107","41","Liverpool"
"Cody Gakpo","18","Fwd","1.93 m","76 kg","Netherlands","18","3",NA,NA,"2","20","24","0","0","6","35","9","Liverpool"
"Diogo Jota","20","Fwd","1.78 m","68 kg","Portugal","19","8",NA,NA,"4","17","15","2","0","5","29","8","Liverpool"
"Luis Díaz","23","Fwd","1.78 m","63 kg","Colombia","14","5",NA,NA,"2","13","19","2","0","4","20","8","Liverpool"
"Darwin Núñez","27","Fwd","1.88 m","81 kg","Uruguay","29","10",NA,NA,"3","22","17","1","1","9","79","29","Liverpool"
"Ben Doak","50","Fwd","--","--","Scotland","2","2",NA,NA,"0","0","1","0","0","0","0","0","Liverpool"
"Layton Stewart","81","Fwd","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Liverpool"
"Kepa Arrizabalaga","1","GK","1.88 m","83 kg","Spain","26","0","82","24","0","0","7","1","0",NA,NA,NA,"Chelsea"
"Marcus Bettinelli","13","GK","1.93 m","82 kg","England","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Chelsea"
"Édouard Mendy","16","GK","1.93 m","86 kg","Senegal","10","1","10","14","0","0","2","1","0",NA,NA,NA,"Chelsea"
"Gabriel Slonina","36","GK","1.93 m","87 kg","USA","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Chelsea"
"Lucas Bergstrom","47","GK","1.98 m","82 kg","Finland","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Chelsea"
"Benoit Badiashile","4","Def","1.93 m","73 kg","France","11","1",NA,NA,"0","8","6","2","0","1","6","2","Chelsea"
"Thiago Silva","6","Def","1.83 m","78 kg","Brazil","25","1",NA,NA,"2","9","12","2","0","0","14","2","Chelsea"
"Trevoh Chalobah","14","Def","1.91 m","73 kg","England","22","7",NA,NA,"0","11","8","4","0","0","6","1","Chelsea"
"Ben Chilwell","21","Def","1.78 m","77 kg","England","23","8",NA,NA,"2","12","23","3","0","2","16","4","Chelsea"
"Reece James","24","Def","1.83 m","82 kg","England","16","2",NA,NA,"1","9","18","4","0","1","16","3","Chelsea"
"Kalidou Koulibaly","26","Def","1.96 m","87 kg","Senegal","22","2",NA,NA,"1","22","9","6","1","2","12","5","Chelsea"
"César Azpilicueta","28","Def","1.78 m","76 kg","Spain","22","9",NA,NA,"0","19","6","3","0","0","9","2","Chelsea"
"Marc Cucurella","32","Def","1.73 m","66 kg","Spain","24","3",NA,NA,"2","16","20","4","0","0","5","0","Chelsea"
"Wesley Fofana","33","Def","1.91 m","83 kg","France","14","2",NA,NA,"0","9","22","4","0","1","8","3","Chelsea"
"Enzo Fernández","5","Mid","1.78 m","76 kg","Argentina","15","0",NA,NA,"2","9","17","1","0","0","17","2","Chelsea"
"N'Golo Kanté","7","Mid","1.68 m","68 kg","France","7","1",NA,NA,"1","5","2","1","0","0","8","1","Chelsea"
"Mateo Kovacic","8","Mid","1.78 m","78 kg","Croatia","26","9",NA,NA,"2","17","12","8","0","1","22","1","Chelsea"
"Christian Pulisic","10","Mid","1.78 m","68 kg","USA","21","13",NA,NA,"1","7","15","1","0","1","17","5","Chelsea"
"Ruben Loftus-Cheek","12","Mid","1.91 m","87 kg","England","22","5",NA,NA,"2","10","30","1","0","0","10","3","Chelsea"
"Mykhailo Mudryk","15","Mid","1.75 m","59 kg","Ukraine","13","7",NA,NA,"2","7","11","1","0","0","9","3","Chelsea"
"Mason Mount","19","Mid","1.8 m","76 kg","England","24","4",NA,NA,"2","28","27","4","0","3","32","9","Chelsea"
"Denis Zakaria","20","Mid","1.88 m","81 kg","Switzerland","7","2",NA,NA,"0","5","2","0","0","0","2","0","Chelsea"
"Hakim Ziyech","22","Mid","1.8 m","63 kg","Morocco","17","11",NA,NA,"2","12","14","1","0","0","14","2","Chelsea"
"Conor Gallagher","23","Mid","1.83 m","77 kg","England","32","17",NA,NA,"1","31","35","10","1","3","22","10","Chelsea"
"Kai Havertz","29","Mid","1.93 m","83 kg","Germany","32","5",NA,NA,"1","49","23","4","0","7","64","29","Chelsea"
"Carney Chukwuemeka","30","Mid","1.88 m","77 kg","England","11","10",NA,NA,"0","1","3","0","0","0","4","1","Chelsea"
"Harvey Vale","39","Mid","1.8 m","73 kg","England","0","0",NA,NA,"0","0","0","0","0","0","0","0","Chelsea"
"Omari Hutchinson","56","Mid","1.75 m","--","Jamaica","1","1",NA,NA,"0","0","0","0","0","0","0","0","Chelsea"
"Lewis Hall","67","Mid","1.78 m","73 kg","England","6","1",NA,NA,"0","2","9","1","0","0","5","1","Chelsea"
"Pierre-Emerick Aubameyang","9","Fwd","1.88 m","78 kg","Gabon","15","10",NA,NA,"0","5","1","1","0","1","16","7","Chelsea"
"João Félix","11","Fwd","1.8 m","68 kg","Portugal","14","3",NA,NA,"0","12","27","1","1","3","37","13","Chelsea"
"Raheem Sterling","17","Fwd","1.73 m","68 kg","England","26","5",NA,NA,"3","21","29","4","0","6","35","13","Chelsea"
"Armando Broja","18","Fwd","1.91 m","83 kg","Albania","12","10",NA,NA,"0","2","6","0","0","1","5","4","Chelsea"
"David Datro Fofana","27","Fwd","1.8 m","82 kg","--","2","1",NA,NA,"0","3","3","0","0","0","3","1","Chelsea"
"Noni Madueke","31","Fwd","1.75 m","73 kg","England","9","4",NA,NA,"0","4","8","0","0","1","9","5","Chelsea"
"Alex Meret","1","GK","1.91 m","82 kg","Italy","32","0","46","23","0","0","0","0","0",NA,NA,NA,"Napoli"
"Davide Marfella","12","GK","1.83 m","--","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Napoli"
"Hubert Dawid Idasiak","16","GK","1.85 m","--","Poland","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Napoli"
"Valerio Boffelli","52","GK","1.83 m","--","Italy","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Napoli"
"Pierluigi Gollini","95","GK","1.93 m","92 kg","Italy","5","0","6","2","0","0","0","0","0",NA,NA,NA,"Napoli"
"Kim Min-Jae","3","Def","1.91 m","83 kg","South Korea","33","0",NA,NA,"2","26","7","4","0","2","8","3","Napoli"
"Juan Jesus","5","Def","1.85 m","83 kg","Brazil","12","3",NA,NA,"0","8","4","2","0","1","5","1","Napoli"
"Mário Rui","6","Def","1.7 m","67 kg","Portugal","21","1",NA,NA,"6","18","31","2","1","0","10","3","Napoli"
"Amir Rrahmani","13","Def","1.93 m","87 kg","Kosovo","25","2",NA,NA,"1","19","10","1","0","2","20","3","Napoli"
"Mathías Olivera","17","Def","1.83 m","78 kg","Uruguay","27","13",NA,NA,"2","19","22","2","0","2","8","3","Napoli"
"Bartosz Bereszynski","19","Def","1.83 m","77 kg","Poland","15","0",NA,NA,"0","13","10","1","0","0","2","0","Napoli"
"Giovanni Di Lorenzo","22","Def","1.83 m","83 kg","Italy","34","0",NA,NA,"4","28","31","2","0","2","28","11","Napoli"
"Leo Ostigard","55","Def","1.83 m","81 kg","Norway","6","3",NA,NA,"0","2","4","1","0","0","2","0","Napoli"
"Diego Demme","4","Mid","1.73 m","71 kg","Germany","6","4",NA,NA,"0","2","3","0","0","0","0","0","Napoli"
"Eljif Elmas","7","Mid","1.83 m","68 kg","North Macedonia","33","22",NA,NA,"3","17","14","3","0","6","27","8","Napoli"
"Piotr Zielinski","20","Mid","1.8 m","76 kg","Poland","33","10",NA,NA,"7","17","30","3","0","3","44","16","Napoli"
"Karim Zedadka","31","Mid","1.83 m","67 kg","France","2","2",NA,NA,"0","0","1","0","0","0","0","0","Napoli"
"Stanislav Lobotka","68","Mid","1.7 m","68 kg","Slovakia","34","4",NA,NA,"2","22","53","2","0","1","11","4","Napoli"
"Gianluca Gaetano","70","Mid","1.8 m","71 kg","Italy","5","5",NA,NA,"1","1","0","0","0","0","3","1","Napoli"
"Tanguy Ndombele","91","Mid","1.8 m","76 kg","France","30","22",NA,NA,"0","14","23","5","0","1","16","2","Napoli"
"André-Frank Zambo Anguissa","99","Mid","1.83 m","78 kg","Cameroon","32","0",NA,NA,"4","36","42","3","0","2","38","9","Napoli"
"Victor Osimhen","9","Fwd","1.85 m","78 kg","Nigeria","28","2",NA,NA,"4","30","33","4","0","23","111","44","Napoli"
"Hirving Lozano","11","Fwd","1.75 m","68 kg","Mexico","32","12",NA,NA,"4","24","31","3","0","3","41","13","Napoli"
"Giovanni Simeone","18","Fwd","1.8 m","81 kg","Argentina","21","20",NA,NA,"0","5","8","1","0","3","9","5","Napoli"
"Matteo Politano","21","Fwd","1.7 m","67 kg","Italy","25","11",NA,NA,"3","10","22","1","0","3","28","7","Napoli"
"Alessio Zerbin","23","Fwd","1.83 m","78 kg","Italy","8","8",NA,NA,"0","5","4","1","0","0","1","1","Napoli"
"Khvicha Kvaratskhelia","77","Fwd","1.83 m","68 kg","Georgia","30","3",NA,NA,"10","17","38","1","0","12","77","28","Napoli"
